Index,Artists
416,"artist:huanxiang_heitu,artist:tiv,artist:sofra,artist:nanashi_(nlo),artist:hisona_(suaritesumi),"
417,"artist:tabi_(tabisumika),[[[[artist:ao+beni]]]],artist:ayul_(ayulneri_92),[artist:yokochou],{artist:rin31153336},{artist:migolu},"
418,"artist:kousaki_rui,[[artist:daifuku_mame_(kageroudt33)]],artist:chyoel,[[artist:lpip]],koe_(mixpi),[artist:atdan],artist:kaninn,year_2023,"
419,"Yuzusoft,Senren Banka,"
420,"render,c4d,photo-referenced,{{{{nendoroid}}}},Handmade,3d,"
421,"minimalism,{{no lineart}},{{{faceless}}},simple_background,blending,flat color,limited palette,"
422,"{pixel art,Aaron Hain},"
423,"{{{pixel_art}}},{{neon palette}},"
424,"{{{{pixel art}}}},[artist:ashima_takumi],[[artist:ciloranko]], [[artist:wlop]], artist:cierra_(ra-bit),[artist:noyu_(noyu23386566)],"
425,"{{ff_gradient}},{{limited_palette}},high_contrast,inverted_colors,colorful,{Stunning composition},"
426,"portrait,lineart,monochrome,black and white,"
427,"greyscale,monochrome,silent comic,linear hatching,"
428,"{{{pixel art}}}, carpet, chair,indoors, {{{{isometric}}}}, light rays,plant,white background,"
429,"{{{{{{lineart}}}}}}, nocolor,"
430,"graphite (medium), {{monochrome}, }, paper, art tools in frame, pencil, traditional media,"
431,"{{Multiple view}},artist:wlop,[artist:mochizuki kei],"
432,"{{quan (kurisu tina)}},{portrait},upper body,close-up,year 2023,"
433,"[[kamisato ayaka (genshin) cosplay]],no humans,[artist:kedama milk],{wlop, reoen},[[artist:As109]], {{white cat}}, hair ornament, furry, shy, nude, [[chibi]]"
